,APPL,,,,,,AMZN,,,,,,APT,,,,,,FB,,,,,,GOOG,,,,,,LAKE,,,,,,NFLX,,,,,,NNVC,,,,,,TSLA,,,,,,YOJ.SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/2,282.279999,301.440002,277.720001,298.809998,298.003296,85349300,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700,19.59,19.620001,12.61,16,16,15632800,194.029999,196.570007,188.850006,196.440002,196.440002,24949000,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500,19.91,20.09,15.66,18.1,18.1,3281600,373.109985,381.359985,364.5,381.049988,381.049988,6997900,9.44,9.65,8.11,8.49,8.49,1593000,711.26001,743.690002,686.669983,743.619995,743.619995,20195000,3.18,3.32,3.18,3.2,-6.783099,9450,,2020/3/1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/3,303.670013,304,285.799988,289.320007,288.53894,79868900,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500,13.41,21.65,13,19.190001,19.190001,21864300,196.220001,197.240005,183.970001,185.889999,185.889999,27984100,1399.420044,1410.150024,1332,1341.390015,1341.390015,2402300,16.950001,19.299999,16.02,17.76,17.76,2936700,381.029999,393.519989,367.399994,368.769989,368.769989,8364600,7.99,8.39,7.79,8.39,8.39,1335900,805,806.97998,716.109985,745.51001,745.51001,25784000,3.42,3.42,3.42,3.42,-7.249437,0,,2020/3/2,282.279999,301.440002,277.720001,298.809998,298.003296,85349300,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700,19.59,19.620001,12.61,16,16,15632800,194.029999,196.570007,188.850006,196.440002,196.440002,24949000,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500,19.91,20.09,15.66,18.1,18.1,3281600,373.109985,381.359985,364.5,381.049988,381.049988,6997900,9.44,9.65,8.11,8.49,8.49,1593000,711.26001,743.690002,686.669983,743.619995,743.619995,20195000,3.18,3.32,3.18,3.2,-6.783099,9450
2020/3/4,296.440002,303.399994,293.130005,302.73999,301.922699,54794600,1946.569946,1978,1922,1975.829956,1975.829956,4772900,16.75,19.969999,15.51,16,16,8731800,189.169998,191.830002,186.389999,191.759995,191.759995,23062500,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300,17,18,16.200001,16.459999,16.459999,1565100,377.769989,384.01001,370.51001,383.790009,383.790009,5487300,7.65,8.97,7.65,7.93,7.93,1370900,763.960022,766.52002,724.72998,749.5,749.5,15049000,3.4,3.4,3.4,3.4,-7.207043,0,,2020/3/3,303.670013,304,285.799988,289.320007,288.53894,79868900,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500,13.41,21.65,13,19.190001,19.190001,21864300,196.220001,197.240005,183.970001,185.889999,185.889999,27984100,1399.420044,1410.150024,1332,1341.390015,1341.390015,2402300,16.950001,19.299999,16.02,17.76,17.76,2936700,381.029999,393.519989,367.399994,368.769989,368.769989,8364600,7.99,8.39,7.79,8.39,8.39,1335900,805,806.97998,716.109985,745.51001,745.51001,25784000,3.42,3.42,3.42,3.42,-7.249437,0
2020/3/5,295.519989,299.549988,291.410004,292.920013,292.129211,46893200,1933,1960.719971,1910,1924.030029,1924.030029,4748200,18.190001,18.549999,15.8,16.469999,16.469999,7684400,186.779999,188.990005,183.889999,185.169998,185.169998,19333400,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300,16.85,17.59,16.52,16.73,16.73,1444200,381,391.399994,368.640015,372.779999,372.779999,8747000,8.04,8.39,7.92,8.08,8.08,3930200,723.77002,745.75,718.070007,724.539978,724.539978,10852700,3.3,3.3,3.3,3.3,-6.99507,0,,2020/3/4,296.440002,303.399994,293.130005,302.73999,301.922699,54794600,1946.569946,1978,1922,1975.829956,1975.829956,4772900,16.75,19.969999,15.51,16,16,8731800,189.169998,191.830002,186.389999,191.759995,191.759995,23062500,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300,17,18,16.200001,16.459999,16.459999,1565100,377.769989,384.01001,370.51001,383.790009,383.790009,5487300,7.65,8.97,7.65,7.93,7.93,1370900,763.960022,766.52002,724.72998,749.5,749.5,15049000,3.4,3.4,3.4,3.4,-7.207043,0
2020/3/6,282,290.820007,281.230011,289.029999,288.249725,56544200,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600,16.549999,16.75,14.12,14.42,14.42,5424300,178.330002,183.779999,176.259995,181.089996,181.089996,24559600,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600,17.15,17.190001,15.61,16.459999,16.459999,1247900,367.700012,371.309998,356.850006,368.970001,368.970001,8147200,11.3,12.75,10.42,11.19,11.19,9921700,690,707,684.27002,703.47998,703.47998,12662900,3.26,3.26,3.26,3.26,-6.910282,0,,2020/3/5,295.519989,299.549988,291.410004,292.920013,292.129211,46893200,1933,1960.719971,1910,1924.030029,1924.030029,4748200,18.190001,18.549999,15.8,16.469999,16.469999,7684400,186.779999,188.990005,183.889999,185.169998,185.169998,19333400,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300,16.85,17.59,16.52,16.73,16.73,1444200,381,391.399994,368.640015,372.779999,372.779999,8747000,8.04,8.39,7.92,8.08,8.08,3930200,723.77002,745.75,718.070007,724.539978,724.539978,10852700,3.3,3.3,3.3,3.3,-6.99507,0
2020/3/9,263.75,278.089996,263,266.170013,265.451447,71686200,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200,14.8,15.22,10.09,11.68,11.68,5110900,169.600006,175,165.190002,169.5,169.5,29949000,1205.300049,1254.76001,1200,1215.560059,1215.560059,3365400,16.75,16.940001,13.99,14.34,14.34,1127900,343.859985,357.470001,341.720001,346.48999,346.48999,7405500,11.7,12.13,9.05,9.18,9.18,2461000,605.390015,663,605,608,608,17073700,3.26,3.26,3.26,3.26,-6.910282,0,,2020/3/6,282,290.820007,281.230011,289.029999,288.249725,56544200,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600,16.549999,16.75,14.12,14.42,14.42,5424300,178.330002,183.779999,176.259995,181.089996,181.089996,24559600,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600,17.15,17.190001,15.61,16.459999,16.459999,1247900,367.700012,371.309998,356.850006,368.970001,368.970001,8147200,11.3,12.75,10.42,11.19,11.19,9921700,690,707,684.27002,703.47998,703.47998,12662900,3.26,3.26,3.26,3.26,-6.910282,0
2020/3/10,277.140015,286.440002,269.369995,285.339996,284.569672,71322500,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300,11.24,11.24,8.33,9.21,9.21,4845700,174.669998,178.289993,169.5,178.190002,178.190002,24517800,1260,1281.150024,1218.77002,1280.390015,1280.390015,2611400,13.89,14.96,13.38,14.45,14.45,1122200,356.429993,364.540009,347.850006,364.130005,364.130005,7604400,8.82,9.37,6.8,7.28,7.28,1616500,659.429993,668,608,645.330017,645.330017,15594400,3.06,3.06,3,3,-6.359155,3125,,2020/3/7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/11,277.390015,281.220001,271.859985,275.429993,274.686432,63899700,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800,9.88,13.5,9.26,11.41,11.41,13065900,174.009995,175.880005,167.660004,170.240005,170.240005,20373900,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500,14.61,17.48,14.29,16.440001,16.440001,2508800,358.920013,362.980011,344.790009,349.920013,349.920013,6036000,7.29,8.88,6.95,8.02,8.02,2267600,640.200012,653.580017,613,634.22998,634.22998,13322500,3.14,3.14,3.14,3.14,-6.655916,0,,2020/3/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/12,255.940002,270,248,248.229996,247.55986,104618500,1721.97998,1765,1675,1676.609985,1676.609985,11346200,16,16,11.54,12.55,12.55,9736000,159.539993,166.600006,154.339996,154.470001,154.470001,43266300,1126,1193.869995,1113.300049,1114.910034,1114.910034,4226700,17.4,18,14.75,15.74,15.74,1141100,326.5,335.720001,307.320007,315.25,315.25,12071600,8.5,8.58,6.95,7.6,7.6,1379400,580.890015,594.5,546.25,560.549988,560.549988,18909100,3.02,3.02,3.02,3.02,-6.401549,0,,2020/3/9,263.75,278.089996,263,266.170013,265.451447,71686200,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200,14.8,15.22,10.09,11.68,11.68,5110900,169.600006,175,165.190002,169.5,169.5,29949000,1205.300049,1254.76001,1200,1215.560059,1215.560059,3365400,16.75,16.940001,13.99,14.34,14.34,1127900,343.859985,357.470001,341.720001,346.48999,346.48999,7405500,11.7,12.13,9.05,9.18,9.18,2461000,605.390015,663,605,608,608,17073700,3.26,3.26,3.26,3.26,-6.910282,0
2020/3/13,264.890015,279.920013,252.949997,277.970001,277.219574,92683000,1755,1786.310059,1680.619995,1785,1785,8809700,10.55,13.94,10.12,12.51,12.51,5763800,163.529999,170.789993,157.600006,170.279999,170.279999,35028600,1179,1219.76001,1117.142944,1219.72998,1219.72998,3700100,15.88,17.379999,14.3,17.1,17.1,1142000,330.51001,336.420013,307.390015,336.299988,336.299988,9458200,7.16,7.2,6.36,6.86,6.86,951600,595,607.570007,502,546.619995,546.619995,22640300,2.98,2.98,2.98,2.98,-6.316761,0,,2020/3/10,277.140015,286.440002,269.369995,285.339996,284.569672,71322500,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300,11.24,11.24,8.33,9.21,9.21,4845700,174.669998,178.289993,169.5,178.190002,178.190002,24517800,1260,1281.150024,1218.77002,1280.390015,1280.390015,2611400,13.89,14.96,13.38,14.45,14.45,1122200,356.429993,364.540009,347.850006,364.130005,364.130005,7604400,8.82,9.37,6.8,7.28,7.28,1616500,659.429993,668,608,645.330017,645.330017,15594400,3.06,3.06,3,3,-6.359155,3125
2020/3/16,241.949997,259.079987,240,242.210007,241.556122,80605900,1641.51001,1759.449951,1626.030029,1689.150024,1689.150024,8917300,11.99,15.3,10.51,13.14,13.14,6832800,152.320007,159.130005,143.100006,146.009995,146.009995,39120400,1096,1152.266968,1074.439941,1084.329956,1084.329956,4252400,16.5,17.950001,15.53,17.66,17.66,1081800,306.630005,334.350006,294.75,298.839996,298.839996,10559900,8.16,8.22,7,7.28,7.28,1312100,469.5,494.869995,442.170013,445.070007,445.070007,20489500,2.88,2.88,2.88,2.88,-6.104789,0,,2020/3/11,277.390015,281.220001,271.859985,275.429993,274.686432,63899700,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800,9.88,13.5,9.26,11.41,11.41,13065900,174.009995,175.880005,167.660004,170.240005,170.240005,20373900,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500,14.61,17.48,14.29,16.440001,16.440001,2508800,358.920013,362.980011,344.790009,349.920013,349.920013,6036000,7.29,8.88,6.95,8.02,8.02,2267600,640.200012,653.580017,613,634.22998,634.22998,13322500,3.14,3.14,3.14,3.14,-6.655916,0
2020/3/17,247.509995,257.609985,238.399994,252.860001,252.177368,81014000,1775.469971,1857.780029,1689.23999,1807.839966,1807.839966,10917100,13.01,14,11.56,12.36,12.36,2866300,150.740005,153.940002,140,149.419998,149.419998,34255600,1093.109985,1130.859985,1056.01001,1119.800049,1119.800049,3861500,17.950001,18.799999,16.129999,16.68,16.68,899300,306.190002,322.899994,290.25,319.75,319.75,10013900,7.5,7.5,6.71,7.01,7.01,1022900,440.01001,471.850006,396,430.200012,430.200012,23994600,2.68,2.68,2.68,2.68,-5.680845,0,,2020/3/12,255.940002,270,248,248.229996,247.55986,104618500,1721.97998,1765,1675,1676.609985,1676.609985,11346200,16,16,11.54,12.55,12.55,9736000,159.539993,166.600006,154.339996,154.470001,154.470001,43266300,1126,1193.869995,1113.300049,1114.910034,1114.910034,4226700,17.4,18,14.75,15.74,15.74,1141100,326.5,335.720001,307.320007,315.25,315.25,12071600,8.5,8.58,6.95,7.6,7.6,1379400,580.890015,594.5,546.25,560.549988,560.549988,18909100,3.02,3.02,3.02,3.02,-6.401549,0
2020/3/18,239.770004,250,237.119995,246.669998,246.004074,75058400,1750,1841.660034,1745,1830,1830,9645200,13.05,13.77,11.8,12.13,12.13,3656700,139.75,148.179993,137.100006,146.960007,146.960007,37553100,1056.51001,1106.5,1037.280029,1096.800049,1096.800049,4233400,17,18.25,16.25,16.790001,16.790001,1039200,302.399994,331.579987,300,315.470001,315.470001,12593600,6.61,7.14,6.5,6.65,6.65,881300,389,404.859985,350.51001,361.220001,361.220001,23786200,2.72,2.72,2.72,2.72,-5.765634,0,,2020/3/13,264.890015,279.920013,252.949997,277.970001,277.219574,92683000,1755,1786.310059,1680.619995,1785,1785,8809700,10.55,13.94,10.12,12.51,12.51,5763800,163.529999,170.789993,157.600006,170.279999,170.279999,35028600,1179,1219.76001,1117.142944,1219.72998,1219.72998,3700100,15.88,17.379999,14.3,17.1,17.1,1142000,330.51001,336.420013,307.390015,336.299988,336.299988,9458200,7.16,7.2,6.36,6.86,6.86,951600,595,607.570007,502,546.619995,546.619995,22640300,2.98,2.98,2.98,2.98,-6.316761,0
2020/3/19,247.389999,252.839996,242.610001,244.779999,244.119171,67964300,1860,1945,1832.650024,1880.930054,1880.930054,10399900,12.55,13.3,11.27,11.35,11.35,2637900,146.619995,159.929993,144.800003,153.130005,153.130005,39862300,1093.050049,1157.969971,1060.108032,1115.290039,1115.290039,3651100,17.33,18.799999,16.690001,17.43,17.43,994700,324.329987,348.51001,316.820007,332.029999,332.029999,10616000,6.68,6.78,6.3,6.67,6.67,671300,374.700012,452,358.459991,427.640015,427.640015,30195500,2.68,2.68,2.68,2.68,-5.680845,0,,2020/3/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/20,247.179993,251.830002,228,229.240005,228.62114,100423300,1926.310059,1957,1820.72998,1846.089966,1846.089966,9817900,11.45,11.8,10,10.67,10.67,3519600,156.020004,159.270004,148,149.729996,149.729996,32568400,1135.719971,1143.98999,1065.48999,1072.319946,1072.319946,3601800,17.74,17.870001,15.67,16.52,16.52,1481400,342.309998,350.48999,332,332.829987,332.829987,10853800,6.21,6.57,6,6.23,6.23,533100,438.200012,477,425.790009,427.529999,427.529999,28285500,2.38,2.4,2.38,2.4,-5.087324,1000,,2020/3/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020/3/23,228.080002,228.5,212.610001,224.369995,223.764267,84188200,1827.75,1919.400024,1812,1902.829956,1902.829956,7808500,10.75,11.97,10,10.3,10.3,3588700,149.660004,152.309998,142.25,148.100006,148.100006,29830800,1061.319946,1071.319946,1013.536011,1056.619995,1056.619995,4044100,16.860001,17.299999,16.09,16.65,16.65,649300,347.890015,366.109985,340.880005,360.269989,360.269989,13449400,6.05,6.22,5.9,6.11,6.11,380000,433.600006,442,410.5,434.290009,434.290009,16454500,2.42,2.42,2.42,2.42,-5.129718,0,,2020/3/16,241.949997,259.079987,240,242.210007,241.556122,80605900,1641.51001,1759.449951,1626.030029,1689.150024,1689.150024,8917300,11.99,15.3,10.51,13.14,13.14,6832800,152.320007,159.130005,143.100006,146.009995,146.009995,39120400,1096,1152.266968,1074.439941,1084.329956,1084.329956,4252400,16.5,17.950001,15.53,17.66,17.66,1081800,306.630005,334.350006,294.75,298.839996,298.839996,10559900,8.16,8.22,7,7.28,7.28,1312100,469.5,494.869995,442.170013,445.070007,445.070007,20489500,2.88,2.88,2.88,2.88,-6.104789,0
2020/3/24,236.360001,247.690002,234.300003,246.880005,246.213516,71882800,1951.5,1955,1900.339966,1940.099976,1940.099976,7147100,10.05,10.39,9.1,9.25,9.25,1807600,155.210007,161.309998,152.570007,160.979996,160.979996,30440400,1103.77002,1135,1090.619995,1134.459961,1134.459961,3344500,16.440001,16.719999,14.9,15.19,15.19,911800,369.98999,372.929993,353.029999,357.320007,357.320007,11638700,5.86,6.12,5.2,5.71,5.71,568700,477.299988,513.690002,474,505,505,22895200,2.44,2.44,2.44,2.44,-5.172113,0,,2020/3/17,247.509995,257.609985,238.399994,252.860001,252.177368,81014000,1775.469971,1857.780029,1689.23999,1807.839966,1807.839966,10917100,13.01,14,11.56,12.36,12.36,2866300,150.740005,153.940002,140,149.419998,149.419998,34255600,1093.109985,1130.859985,1056.01001,1119.800049,1119.800049,3861500,17.950001,18.799999,16.129999,16.68,16.68,899300,306.190002,322.899994,290.25,319.75,319.75,10013900,7.5,7.5,6.71,7.01,7.01,1022900,440.01001,471.850006,396,430.200012,430.200012,23994600,2.68,2.68,2.68,2.68,-5.680845,0
2020/3/25,250.75,258.25,244.300003,245.520004,244.857178,75900500,1920.689941,1950.26001,1885.780029,1885.839966,1885.839966,6479100,9.14,9.15,8.56,8.68,8.68,1620300,158.919998,162.990005,153.059998,156.210007,156.210007,35184300,1126.469971,1148.900024,1086.01001,1102.48999,1102.48999,4081500,15.3,15.42,13.8,14.29,14.29,731100,361.019989,362,339.170013,342.390015,342.390015,8767200,5.2,5.29,4.6,4.8,4.8,790800,545.25,557,511.109985,539.25,539.25,21222700,2.76,2.76,2.76,2.76,-5.850422,0,,2020/3/18,239.770004,250,237.119995,246.669998,246.004074,75058400,1750,1841.660034,1745,1830,1830,9645200,13.05,13.77,11.8,12.13,12.13,3656700,139.75,148.179993,137.100006,146.960007,146.960007,37553100,1056.51001,1106.5,1037.280029,1096.800049,1096.800049,4233400,17,18.25,16.25,16.790001,16.790001,1039200,302.399994,331.579987,300,315.470001,315.470001,12593600,6.61,7.14,6.5,6.65,6.65,881300,389,404.859985,350.51001,361.220001,361.220001,23786200,2.72,2.72,2.72,2.72,-5.765634,0
2020/3/26,246.520004,258.679993,246.360001,258.440002,257.74231,63021800,1902,1956.48999,1889.290039,1955.48999,1955.48999,6221300,9.61,9.64,8.75,9.35,9.35,2205400,158.25,164,157.020004,163.339996,163.339996,26556800,1111.800049,1169.969971,1093.530029,1161.75,1161.75,3571700,14.43,15.59,14.4,15.43,15.43,465800,344,363.839996,341.730011,362.98999,362.98999,7229600,4.88,5.6,4.88,5.57,5.57,701300,547.390015,560,512.25,528.159973,528.159973,17380700,2.82,2.82,2.82,2.82,-5.977605,0,,2020/3/19,247.389999,252.839996,242.610001,244.779999,244.119171,67964300,1860,1945,1832.650024,1880.930054,1880.930054,10399900,12.55,13.3,11.27,11.35,11.35,2637900,146.619995,159.929993,144.800003,153.130005,153.130005,39862300,1093.050049,1157.969971,1060.108032,1115.290039,1115.290039,3651100,17.33,18.799999,16.690001,17.43,17.43,994700,324.329987,348.51001,316.820007,332.029999,332.029999,10616000,6.68,6.78,6.3,6.67,6.67,671300,374.700012,452,358.459991,427.640015,427.640015,30195500,2.68,2.68,2.68,2.68,-5.680845,0
2020/3/27,252.75,255.869995,247.050003,247.740005,247.071182,51054200,1930.859985,1939.790039,1899.920044,1900.099976,1900.099976,5387900,9.64,11.61,9.26,11.2,11.2,7669600,158.199997,160.089996,154.75,156.789993,156.789993,24879900,1125.670044,1150.670044,1105.910034,1110.709961,1110.709961,3208500,16.049999,16.33,15.29,15.56,15.56,896600,359.089996,368.559998,353,357.119995,357.119995,7948800,6,6,5.28,5.68,5.68,420300,505,525.799988,494.029999,514.359985,514.359985,14377400,2.68,2.68,2.68,2.68,-5.680845,0,,2020/3/20,247.179993,251.830002,228,229.240005,228.62114,100423300,1926.310059,1957,1820.72998,1846.089966,1846.089966,9817900,11.45,11.8,10,10.67,10.67,3519600,156.020004,159.270004,148,149.729996,149.729996,32568400,1135.719971,1143.98999,1065.48999,1072.319946,1072.319946,3601800,17.74,17.870001,15.67,16.52,16.52,1481400,342.309998,350.48999,332,332.829987,332.829987,10853800,6.21,6.57,6,6.23,6.23,533100,438.200012,477,425.790009,427.529999,427.529999,28285500,2.38,2.4,2.38,2.4,-5.087324,1000
